2.0 Y10, 10 F3
2.0 Y14, 140 E
2.3 Y14, 140 F
2.3 Y10, 10 E1
132.803, 101.3
132.945, 101.3
133.086, 101.3
133.734, 101.2
134.382, 101.0
134.848, 100.9
135.313, 100.8
136.38 , 100.7
135.245, 101.2
134.874, 101.3
134.503, 101.4
133.865, 101.6
133.228, 101.8
133.109, 101.9
132.991, 102.0
132.873, 102.0
131.996, 102.3
130.163, 102.9
130.106, 102.9
129.905, 103.0
129.781, 103.1
129.777, 103.2
129.909, 103.8
129.993, 104.4
130.003, 105.1
129.899, 105.8
129.892, 105.8
122.628, 108.0
121.873, 107.3
121.541, 106.9
121.32 , 106.7
121.371, 106.6
121.423, 106.4
123.261, 108.3
124.135, 108.6
121.18 , 105.6
121.09 , 105.0
124.772, 108.6
125.336, 108.6
121.098, 104.4
121.169, 103.9
125.821, 108.6
126.265, 108.4
121.297, 103.5
121.482, 103.1
126.666, 108.3
127.032, 108.1
121.711, 102.8
121.961, 102.5
127.367, 107.9
127.673, 107.6
122.24 , 102.2
122.546, 101.9
127.948, 107.3
128.187, 107.0
122.86 , 101.7
123.207, 101.5
128.412, 106.7
128.598, 106.3
123.589, 101.3
124.008, 101.1
128.749, 105.9
128.859, 105.4
124.472, 101.0
124.999, 101.0
128.915, 104.9
128.898, 104.3
125.605, 101.0
126.293, 101.2
126.445, 101.3
126.894, 101.5
127.317, 101.8
127.703, 102.1
128.04 , 102.4
128.675, 103.1
128.73 , 103.3
128.814, 103.7
128.289, 103.2
127.77 , 102.7
127.087, 102.0
126.433, 101.4
127.087, 102.0
127.77 , 102.7
128.289, 103.2
128.661, 103.6
128.537, 102.6
128.848, 103.0
129.189, 103.1
129.071, 103.4
129.078, 103.7
129.165, 104.3
129.206, 104.9
129.142, 105.5
128.95 , 106.1
128.711, 106.7
128.354, 107.3
127.986, 107.7
127.438, 108.2
126.888, 108.5
126.367, 108.7
125.67 , 108.9
124.993, 108.9
124.483, 108.9
123.926, 108.8
123.256, 108.6
122.591, 108.2
122.129, 107.8
121.74 , 107.4
121.423, 107.0
121.071, 106.8
120.894, 106.8
121.005, 106.6
121.045, 106.3
121.021, 106.1
120.877, 105.5
120.794, 104.9
120.821, 104.3
120.904, 103.8
121.053, 103.3
121.239, 103.0
121.515, 102.5
121.932, 102.1
122.323, 101.7
122.755, 101.4
123.216, 101.1
123.704, 100.9
124.199, 100.8
125.016, 100.7
125.51 , 100.7
126.311, 100.9
126.77 , 101.1
127.468, 101.6
128.076, 102.1
128.497, 102.6
128.844, 102.4
128.984, 102.5
129.249, 102.7
129.611, 102.7
129.777, 102.6
130.168, 102.5
130.559, 102.3
131.219, 102.1
131.88 , 101.9
131.928, 101.9
134.301, 101.2
134.452, 101.1
135.966, 100.7
135.992, 100.7
136.592, 100.6
137.192, 100.4
137.532, 100.3
137.872, 100.3
139.306, 100.0
137.969, 100.6
137.633, 100.7
137.297, 100.8
136.706, 101.0
136.114, 101.2
136.088, 101.2
134.586, 101.6
134.439, 101.7
132.075, 102.3
132.026, 102.4
131.356, 102.6
130.686, 102.7
130.254, 102.9
129.821, 103.0
129.512, 103.3
129.471, 103.6
129.596, 104.4
129.582, 105.2
129.487, 105.8
129.251, 106.5
128.964, 107.1
128.673, 107.5
128.263, 108.0
127.868, 108.3
127.303, 108.7
126.725, 109.0
126.073, 109.2
125.509, 109.3
124.993, 109.3
124.438, 109.3
123.817, 109.2
123.095, 108.9
122.564, 108.6
122.039, 108.3
121.594, 107.8
121.182, 107.3
120.928, 107.1
120.501, 107.2
120.328, 107.2
119.942, 107.4
119.557, 107.5
118.877, 107.8
118.197, 108.0
116.263, 108.6
114.828, 108.9
114.796, 109.0
113.804, 109.2
112.811, 109.5
112.469, 109.6
112.127, 109.6
110.685, 109.9
111.467, 109.6
112.032, 109.3
112.369, 109.2
112.706, 109.1
113.687, 108.8
114.667, 108.5
114.698, 108.5
116.126, 108.1
118.059, 107.5
118.482, 107.4
119.431, 107.1
119.862, 107.0
120.292, 106.9
120.624, 106.5
120.634, 106.2
120.433, 105.3
120.4 Y, 104.7
120.431, 104.2
120.516, 103.7
120.688, 103.1
120.899, 102.8
121.297, 102.2
121.651, 101.8
122.069, 101.4
122.536, 101.1
123.04 , 100.8
123.576, 100.5
124.128, 100.4
125.009, 100.3
125.568, 100.3
126.433, 100.6
126.952, 100.8
127.704, 101.2
128.179, 101.6
128.6 Y, 102.1
128.806, 102.3
129.157, 102.1
129.312, 102.3
129.497, 102.3
130.406, 102.0
131.79 , 101.5
132.922, 101.1
134.193, 100.8
135.873, 100.3
137.802, 99.95
139.307, 99.69
140.16 , 99.56
140.805, 99.61
139.869, 100.2
138.671, 100.7
137.43 , 101.2
136.24 , 101.6
134.709, 102.0
132.144, 102.8
129.992, 103.3
129.867, 103.5
129.853, 103.6
129.983, 104.4
129.968, 105.2
129.863, 105.9
129.612, 106.7
129.27 , 107.3
128.984, 107.7
128.533, 108.3
127.906, 108.8
127.246, 109.2
126.608, 109.5
126.062, 109.6
125.553, 109.7
124.928, 109.7
124.393, 109.7
123.71 , 109.6
122.938, 109.3
122.362, 109.0
121.788, 108.6
121.311, 108.1
120.839, 107.5
120.647, 107.5
119.711, 107.9
118.341, 108.4
116.409, 109.0
114.928, 109.4
112.198, 110.0
110.693, 110.3
109.84 , 110.4
109.196, 110.3
110.131, 109.8
111.329, 109.2
112.57 , 108.7
114.542, 108.1
116.004, 107.6
118.369, 107.0
120.119, 106.5
120.253, 106.4
120.256, 106.3
120.049, 105.4
120.014, 104.6
120.051, 104.1
120.138, 103.6
120.333, 103.0
120.708, 102.3
121 Y10, 101.9
121.376, 101.5
121.821, 101.1
122.323, 100.7
122.869, 100.4
123.452, 100.2
124.058, 100.0
125.003, 99.97
125.626, 100.0
126.551, 100.2
127.129, 100.4
127.935, 100.9
128.625, 101.5
129 Y10, 101.9
129.12 , 102.1
129.157, 102.1
129.312, 102.3
129.497, 102.3
130.406, 102.0
131.79 , 101.5
131.986, 101.4
122.841, 101.5
122.448, 101.9
122.08 , 102.2
121.51 , 102.8
121.231, 103.6
121.19 , 103.7
121.171, 103.6
121.242, 103.6
121.315, 103.5
121.387, 103.3
123.274, 101.4
124.163, 101.1
121.147, 104.1
121.102, 104.7
124.804, 101.0
125.364, 101.0
121.139, 105.3
121.241, 105.7
125.833, 101.1
126.279, 101.2
121.339, 106.2
121.221, 106.6
121.18 , 106.7
121.161, 106.6
121.232, 106.6
121.345, 106.6
121.459, 106.6
126.671, 101.4
127.018, 101.6
121.743, 106.9
121.99 , 107.2
127.354, 101.9
127.654, 102.1
122.262, 107.5
122.556, 107.8
127.944, 102.4
128.209, 102.7
122.882, 108.0
123.242, 108.2
128.458, 103.0
128.766, 103.3
123.638, 108.4
124.056, 108.5
128.79 , 103.8
128.861, 104.3
124.532, 108.6
125.07 , 108.6
128.899, 104.8
128.836, 105.4
125.691, 108.6
127.924, 106.3
128.546, 106.2
128.036, 106.7
127.537, 107.3
127.072, 107.7
126.33 , 108.4
126.626, 108.3
127.28 , 108 E
127.774, 107.5
128.269, 106.9
128.632, 106.3
128.686, 106.1
128.632, 106.3
128.269, 106.9
127.774, 107.5
127.28 , 108 E
126.626, 108.3
126.6 Y, 108.3
110.591, 109.7
110.873, 109.6
111.155, 109.5
111.436, 109.5
111.821, 109.3
112.206, 109.2
111.821, 109.3
111.436, 109.5
111.155, 109.5
110.873, 109.6
110.591, 109.7
117.95 , 107.6
117.894, 107.7
117.838, 107.7
117.782, 107.8
117.727, 107.8
117.671, 107.9
117.615, 107.9
117.469, 108.0
116.212, 108.3
114.932, 108.7
113.122, 109.2
112.631, 109.3
112.571, 109.3
112.51 , 109.3
112.449, 109.3
112.389, 109.3
112.328, 109.3
112.267, 109.2
112.206, 109.2
112.254, 109.2
112.302, 109.2
112.349, 109.1
112.397, 109.1
112.445, 109.1
112.492, 109.0
112.54 , 109.0
113.029, 108.8
114.83 , 108.3
116.113, 108.0
117.372, 107.6
117.517, 107.6
117.589, 107.6
117.661, 107.6
117.733, 107.6
117.806, 107.6
117.878, 107.6
117.89 , 107.6
117.95 , 107.6
118.268, 107.5
118.587, 107.4
118.905, 107.3
